N,variant,steps,one_shot_time,runopt_time,total_time,one_shot_status,runopt_status,total_moves,equiv_evals,best_bitstring,warm_start_file
13,jenga,1,1.6670,0.2841,1.9511,0,0,8192000,106496000,0000011001010,warm_starts/warm_n13_st1_vjenga.txt
13,jenga,2,1.6898,0.2754,1.9652,0,0,8192000,106496000,1010110011111,warm_starts/warm_n13_st2_vjenga.txt
13,dna,1,1.6743,0.2725,1.9468,0,0,8192000,106496000,0000011001010,warm_starts/warm_n13_st1_vdna.txt
13,dna,2,1.7590,0.2716,2.0307,0,0,8192000,106496000,0000011001010,warm_starts/warm_n13_st2_vdna.txt
13,beyblade,1,1.6933,0.2813,1.9746,0,0,8192000,106496000,0000011001010,warm_starts/warm_n13_st1_vbeyblade.txt
13,beyblade,2,1.7412,0.2730,2.0141,0,0,8192000,106496000,0000011001010,warm_starts/warm_n13_st2_vbeyblade.txt
14,jenga,1,1.6635,0.2741,1.9376,0,0,8192000,114688000,11111100110101,warm_starts/warm_n14_st1_vjenga.txt
14,jenga,2,1.7319,0.2733,2.0052,0,0,8192000,114688000,11001101011111,warm_starts/warm_n14_st2_vjenga.txt
14,dna,1,1.7135,0.2680,1.9815,0,0,8192000,114688000,11111010110011,warm_starts/warm_n14_st1_vdna.txt
14,dna,2,1.7470,0.2737,2.0208,0,0,8192000,114688000,11000001001010,warm_starts/warm_n14_st2_vdna.txt
14,beyblade,1,1.7801,0.2790,2.0592,0,0,8192000,114688000,10000001100101,warm_starts/warm_n14_st1_vbeyblade.txt
14,beyblade,2,1.7766,0.2755,2.0521,0,0,8192000,114688000,01010110011111,warm_starts/warm_n14_st2_vbeyblade.txt
15,jenga,1,1.6642,0.2746,1.9388,0,0,8192000,122880000,101011001100000,warm_starts/warm_n15_st1_vjenga.txt
15,jenga,2,1.7546,0.2778,2.0325,0,0,8192000,122880000,000001100110101,warm_starts/warm_n15_st2_vjenga.txt
15,dna,1,1.7337,0.2703,2.0040,0,0,8192000,122880000,111110011001010,warm_starts/warm_n15_st1_vdna.txt
15,dna,2,1.9242,0.2775,2.2017,0,0,8192000,122880000,101011001100000,warm_starts/warm_n15_st2_vdna.txt
15,beyblade,1,1.7243,0.2745,1.9989,0,0,8192000,122880000,111110011001010,warm_starts/warm_n15_st1_vbeyblade.txt
15,beyblade,2,1.8167,0.2914,2.1081,0,0,8192000,122880000,101101110111000,warm_starts/warm_n15_st2_vbeyblade.txt
16,jenga,1,1.7565,0.2735,2.0300,0,0,8192000,131072000,0011111101011001,warm_starts/warm_n16_st1_vjenga.txt
16,jenga,2,1.9160,0.2752,2.1912,0,0,8192000,131072000,1000011110111011,warm_starts/warm_n16_st2_vjenga.txt
16,dna,1,2.0813,0.2759,2.3572,0,0,8192000,131072000,0101011011001111,warm_starts/warm_n16_st1_vdna.txt
16,dna,2,1.9345,0.2745,2.2090,0,0,8192000,131072000,0010001000011110,warm_starts/warm_n16_st2_vdna.txt
16,beyblade,1,1.8133,0.2729,2.0862,0,0,8192000,131072000,0000001110011010,warm_starts/warm_n16_st1_vbeyblade.txt
16,beyblade,2,1.9036,0.2736,2.1772,0,0,8192000,131072000,1010011000111111,warm_starts/warm_n16_st2_vbeyblade.txt
17,jenga,1,1.8466,0.2707,2.1173,0,0,8192000,139264000,01011001110000001,warm_starts/warm_n17_st1_vjenga.txt
17,jenga,2,2.0125,0.5384,2.5509,0,0,8192000,139264000,10000001110011010,warm_starts/warm_n17_st2_vjenga.txt
17,dna,1,1.8574,0.2715,2.1289,0,0,8192000,139264000,10111011011110000,warm_starts/warm_n17_st1_vdna.txt
17,dna,2,2.0208,0.2725,2.2933,0,0,8192000,139264000,00011111101011001,warm_starts/warm_n17_st2_vdna.txt
17,beyblade,1,1.8434,0.2804,2.1238,0,0,8192000,139264000,00011111101011001,warm_starts/warm_n17_st1_vbeyblade.txt
17,beyblade,2,1.9551,0.2763,2.2314,0,0,8192000,139264000,01011001110000001,warm_starts/warm_n17_st2_vbeyblade.txt
18,jenga,1,2.1208,0.2734,2.3942,0,0,8192000,147456000,011001101011110000,warm_starts/warm_n18_st1_vjenga.txt
18,jenga,2,1.9896,0.2852,2.2748,0,0,8192000,147456000,001100111110100101,warm_starts/warm_n18_st2_vjenga.txt
18,dna,1,1.8953,0.2776,2.1729,0,0,8192000,147456000,001100010110100000,warm_starts/warm_n18_st1_vdna.txt
18,dna,2,2.0929,0.2740,2.3669,0,0,8192000,147456000,010100001111011001,warm_starts/warm_n18_st2_vdna.txt
18,beyblade,1,1.9206,0.2755,2.1960,0,0,8192000,147456000,100110010100001111,warm_starts/warm_n18_st1_vbeyblade.txt
18,beyblade,2,2.0185,0.2729,2.2914,0,0,8192000,147456000,111110100101110011,warm_starts/warm_n18_st2_vbeyblade.txt
19,jenga,1,1.8762,0.2727,2.1489,0,0,8192000,155648000,1111010100001100100,warm_starts/warm_n19_st1_vjenga.txt
19,jenga,2,2.0811,0.2802,2.3613,0,0,8192000,155648000,1010000001011001110,warm_starts/warm_n19_st2_vjenga.txt
19,dna,1,1.9447,0.2749,2.2195,0,0,8192000,155648000,1101100111101010000,warm_starts/warm_n19_st1_vdna.txt
19,dna,2,2.1093,0.2774,2.3867,0,0,8192000,155648000,0111001101000000101,warm_starts/warm_n19_st2_vdna.txt
19,beyblade,1,2.1957,0.2813,2.4770,0,0,8192000,155648000,1010000001011001110,warm_starts/warm_n19_st1_vbeyblade.txt
19,beyblade,2,2.0703,0.2755,2.3458,0,0,8192000,155648000,0000101011110011011,warm_starts/warm_n19_st2_vbeyblade.txt
20,jenga,1,1.9022,0.2759,2.1781,0,0,8192000,163840000,01100011010001011111,warm_starts/warm_n20_st1_vjenga.txt
20,jenga,2,2.0736,0.2703,2.3439,0,0,8192000,163840000,10011100101110100000,warm_starts/warm_n20_st2_vjenga.txt
20,dna,1,2.0228,0.2770,2.2999,0,0,8192000,163840000,00000101110100111001,warm_starts/warm_n20_st1_vdna.txt
20,dna,2,2.2877,0.2696,2.5574,0,0,8192000,163840000,00000101110100111001,warm_starts/warm_n20_st2_vdna.txt
20,beyblade,1,1.9539,0.2749,2.2288,0,0,8192000,163840000,11001001111011110101,warm_starts/warm_n20_st1_vbeyblade.txt
20,beyblade,2,2.1875,0.2786,2.4661,0,0,8192000,163840000,10011100101110100000,warm_starts/warm_n20_st2_vbeyblade.txt
21,jenga,1,2.0461,0.2760,2.3221,0,0,8192000,172032000,001111111001101010110,warm_starts/warm_n21_st1_vjenga.txt
21,jenga,2,2.2173,0.5484,2.7657,0,0,8192000,172032000,001111111001101010110,warm_starts/warm_n21_st2_vjenga.txt
21,dna,1,2.1000,0.2741,2.3741,0,0,8192000,172032000,011010101100111111100,warm_starts/warm_n21_st1_vdna.txt
21,dna,2,2.3993,0.2761,2.6754,0,0,8192000,172032000,100101010011000000011,warm_starts/warm_n21_st2_vdna.txt
21,beyblade,1,2.0157,0.2740,2.2897,0,0,8192000,172032000,011010101100111111100,warm_starts/warm_n21_st1_vbeyblade.txt
21,beyblade,2,2.3157,0.2705,2.5862,0,0,8192000,172032000,110000000110010101001,warm_starts/warm_n21_st2_vbeyblade.txt
22,jenga,1,1.9838,0.2776,2.2614,0,0,8192000,180224000,0100100111111001110101,warm_starts/warm_n22_st1_vjenga.txt
22,jenga,2,2.2106,0.2739,2.4845,0,0,8192000,180224000,1111110001101010110010,warm_starts/warm_n22_st2_vjenga.txt
22,dna,1,2.1057,0.2766,2.3823,0,0,8192000,180224000,1010111111100011001001,warm_starts/warm_n22_st1_vdna.txt
22,dna,2,2.4392,0.2765,2.7157,0,0,8192000,180224000,0101000110000001101101,warm_starts/warm_n22_st2_vdna.txt
22,beyblade,1,2.0792,0.5467,2.6260,0,0,8192000,180224000,0101000000011100110110,warm_starts/warm_n22_st1_vbeyblade.txt
22,beyblade,2,2.3845,0.2760,2.6605,0,0,8192000,180224000,1111110001101010110010,warm_starts/warm_n22_st2_vbeyblade.txt
23,jenga,1,2.1105,0.2774,2.3879,0,0,8192000,188416000,00000000111001010110010,warm_starts/warm_n23_st1_vjenga.txt
23,jenga,2,2.3231,0.2829,2.6060,0,0,8192000,188416000,11011011010100000011100,warm_starts/warm_n23_st2_vjenga.txt
23,dna,1,2.2132,0.2790,2.4922,0,0,8192000,188416000,10010010101111110001110,warm_starts/warm_n23_st1_vdna.txt
23,dna,2,2.8279,0.2829,3.1107,0,0,8192000,188416000,11100111111001001010101,warm_starts/warm_n23_st2_vdna.txt
23,beyblade,1,2.1606,0.2810,2.4416,0,0,8192000,188416000,11101111011010001011100,warm_starts/warm_n23_st1_vbeyblade.txt
23,beyblade,2,2.4752,0.2798,2.7550,0,0,8192000,188416000,01001101010011100000000,warm_starts/warm_n23_st2_vbeyblade.txt
24,jenga,1,2.1599,0.2891,2.4490,0,0,8192000,196608000,110001111111010100100110,warm_starts/warm_n24_st1_vjenga.txt
24,jenga,2,2.4217,0.2917,2.7133,0,0,8192000,196608000,001110000000101011011001,warm_starts/warm_n24_st2_vjenga.txt
24,dna,1,2.2870,0.2841,2.5711,0,0,8192000,196608000,110001111111010100100110,warm_starts/warm_n24_st1_vdna.txt
24,dna,2,2.8781,0.2873,3.1654,0,0,8192000,196608000,011011010101111110001100,warm_starts/warm_n24_st2_vdna.txt
24,beyblade,1,2.1751,0.2893,2.4643,0,0,8192000,196608000,100100101010000001110011,warm_starts/warm_n24_st1_vbeyblade.txt
24,beyblade,2,2.8229,0.2864,3.1093,0,0,8192000,196608000,011011010101111110001100,warm_starts/warm_n24_st2_vbeyblade.txt
25,jenga,1,2.2740,0.3042,2.5781,0,0,8192000,204800000,1001101101010000000111000,warm_starts/warm_n25_st1_vjenga.txt
25,jenga,2,2.7181,0.3042,3.0223,0,0,8192000,204800000,0001110000000101011011001,warm_starts/warm_n25_st2_vjenga.txt
25,dna,1,2.6863,0.3089,2.9951,0,0,8192000,204800000,0110010010101111111000111,warm_starts/warm_n25_st1_vdna.txt
25,dna,2,3.8365,0.2956,4.1321,0,0,8192000,204800000,0011000111111010101101101,warm_starts/warm_n25_st2_vdna.txt
25,beyblade,1,2.2897,0.3020,2.5918,0,0,8192000,204800000,1110001111111010100100110,warm_starts/warm_n25_st1_vbeyblade.txt
25,beyblade,2,2.7970,0.3390,3.1360,0,0,8192000,204800000,0001110000000101011011001,warm_starts/warm_n25_st2_vbeyblade.txt
26,jenga,1,2.7428,0.3037,3.0464,0,0,8192000,212992000,11001110000001010100100100,warm_starts/warm_n26_st1_vjenga.txt
26,jenga,2,3.6224,0.3543,3.9767,0,0,8192000,212992000,00000011100111010101101101,warm_starts/warm_n26_st2_vjenga.txt
26,dna,1,3.6221,0.2952,3.9173,0,0,8192000,212992000,00011100000001010110110010,warm_starts/warm_n26_st1_vdna.txt
26,dna,2,5.4898,0.3048,5.7946,0,0,8192000,212992000,10011011010100000001110001,warm_starts/warm_n26_st2_vdna.txt
26,beyblade,1,2.8147,0.3031,3.1179,0,0,8192000,212992000,11100111000000101010010010,warm_starts/warm_n26_st1_vbeyblade.txt
26,beyblade,2,3.7179,0.3013,4.0192,0,0,8192000,212992000,01001101101010000000111000,warm_starts/warm_n26_st2_vbeyblade.txt
27,jenga,1,3.7723,0.3208,4.0931,0,0,8192000,221184000,111000011101110111011010010,warm_starts/warm_n27_st1_vjenga.txt
27,jenga,2,5.7620,0.3049,6.0669,0,0,8192000,221184000,000111100010001000100101101,warm_starts/warm_n27_st2_vjenga.txt
27,dna,1,5.7425,0.3060,6.0485,0,0,8192000,221184000,010010110111011101110000111,warm_starts/warm_n27_st1_vdna.txt
27,dna,2,9.6592,0.3033,9.9625,0,0,8192000,221184000,101101001000100010001111000,warm_starts/warm_n27_st2_vdna.txt
27,beyblade,1,3.8964,0.3047,4.2011,0,0,8192000,221184000,101101001000100010001111000,warm_starts/warm_n27_st1_vbeyblade.txt
27,beyblade,2,5.8375,0.3058,6.1433,0,0,8192000,221184000,010010110111011101110000111,warm_starts/warm_n27_st2_vbeyblade.txt
28,jenga,1,6.1666,0.3084,6.4750,0,0,8192000,229376000,0001111000100010001001011011,warm_starts/warm_n28_st1_vjenga.txt
28,jenga,2,10.3398,0.3057,10.6455,0,0,8192000,229376000,0111000011101110111011010010,warm_starts/warm_n28_st2_vjenga.txt
28,dna,1,10.3365,0.3095,10.6460,0,0,8192000,229376000,0001111000100010001001011011,warm_starts/warm_n28_st1_vdna.txt
28,dna,2,18.8840,0.3057,19.1897,0,0,8192000,229376000,0111000011101110111011010010,warm_starts/warm_n28_st2_vdna.txt
28,beyblade,1,6.1117,0.3110,6.4227,0,0,8192000,229376000,0001111000100010001001011011,warm_starts/warm_n28_st1_vbeyblade.txt
28,beyblade,2,10.4904,0.3167,10.8071,0,0,8192000,229376000,1011010010001000100011110001,warm_starts/warm_n28_st2_vbeyblade.txt
29,jenga,1,11.1642,0.3455,11.5097,0,0,8192000,237568000,10110010010101000000011100111,warm_starts/warm_n29_st1_vjenga.txt
29,jenga,2,20.5110,0.3179,20.8289,0,0,8192000,237568000,01110000111011101110110100100,warm_starts/warm_n29_st2_vjenga.txt
29,dna,1,20.5906,0.3271,20.9177,0,0,8192000,237568000,10001111000100010001001011011,warm_starts/warm_n29_st1_vdna.txt
29,dna,2,39.3992,0.3245,39.7237,0,0,8192000,237568000,00011000111111101010110110010,warm_starts/warm_n29_st2_vdna.txt
29,beyblade,1,11.3674,0.3343,11.7018,0,0,8192000,237568000,01001101101010111111100011000,warm_starts/warm_n29_st1_vbeyblade.txt
29,beyblade,2,20.6639,0.3176,20.9814,0,0,8192000,237568000,01001101101010111111100011000,warm_starts/warm_n29_st2_vbeyblade.txt
30,jenga,1,22.4143,0.3489,22.7632,0,0,8192000,245760000,001001101111111000111010110101,warm_starts/warm_n30_st1_vjenga.txt
30,jenga,2,43.0078,0.3472,43.3550,0,0,8192000,245760000,101011010111000111111101100100,warm_starts/warm_n30_st2_vjenga.txt
30,dna,1,43.4074,0.3657,43.7731,0,0,8192000,245760000,011100111010101101101111100000,warm_starts/warm_n30_st1_vdna.txt
30,dna,2,85.0345,0.3551,85.3896,0,0,8192000,245760000,111100000010010010101000110001,warm_starts/warm_n30_st2_vdna.txt
30,beyblade,1,22.4991,0.3576,22.8568,0,0,8192000,245760000,011100111010101101101111100000,warm_starts/warm_n30_st1_vbeyblade.txt
30,beyblade,2,43.2130,0.3600,43.5730,0,0,8192000,245760000,000011111101101101010111001110,warm_starts/warm_n30_st2_vbeyblade.txt
